1000,0.000376
2000,0.000305
3000,0.000281
4000,0.000458
5000,0.000466
6000,0.000300
7000,0.000303
8000,0.000300
9000,0.000314
10000,0.000322
11000,0.000319
12000,0.000324
13000,0.000358
14000,0.000354
15000,0.000674
16000,0.000394
17000,0.000387
18000,0.000361
19000,0.000377
20000,0.000356
21000,0.000415
22000,0.000529
23000,0.000684
24000,0.000392
25000,0.000380
26000,0.000379
27000,0.000359
28000,0.000386
29000,0.000608
30000,0.000446
31000,0.000524
32000,0.000568
33000,0.000460
34000,0.000454
35000,0.000443
36000,0.000467
37000,0.000777
38000,0.000471
39000,0.000469
40000,0.000487
41000,0.000526
42000,0.000659
43000,0.000496
44000,0.000507
45000,0.000506
46000,0.000514
47000,0.000506
48000,0.000666
49000,0.000607
50000,0.000532
51000,0.000509
52000,0.000702
53000,0.000545
54000,0.000543
55000,0.000548
56000,0.000834
57000,0.000550
58000,0.000579
59000,0.000579
60000,0.000573
61000,0.000584
62000,0.000814
63000,0.000616
64000,0.000578
65000,0.000889
66000,0.000604
67000,0.000617
68000,0.000613
69000,0.000818
70000,0.000635
71000,0.000659
72000,0.000616
73000,0.000751
74000,0.000730
75000,0.000661
76000,0.000762
77000,0.000730
78000,0.000674
79000,0.000801
80000,0.000697
81000,0.000698
82000,0.000677
83000,0.000701
84000,0.000934
85000,0.000707
86000,0.000877
87000,0.000810
88000,0.000713
89000,0.000904
90000,0.000727
91000,0.000727
92000,0.000726
93000,0.000925
94000,0.000753
95000,0.000751
96000,0.000965
97000,0.000772
98000,0.000950
99000,0.000792
